collection,max_timestamp,utc_timestamp,subCommodityCode,subCommodityName,database_name,variations,object_id,changeStreamEvent
subcommodity_migration_changestream,1727892720,2024-10-02 13:12:00,61403,HERBS PARSLEY ORGANIC,PROD_SB,,66c4f73e18aad9dd5acaf8aa_1727892720,"{'operationType': 'update', 'timestamp': Timestamp(1727892720, 14)}"
subcommodity_migration_changestream,1727892765,2024-10-02 13:12:45,59807,ASPARAGUS ORGANIC,PROD_SB,,66c4f73e18aad9dd5acafa11_1727892765,"{'operationType': 'update', 'timestamp': Timestamp(1727892765, 23)}"
subcommodity_migration_changestream,1727892772,2024-10-02 13:12:52,59901,VEGETABLES COOKING PACKAGED,PROD_SB,,66c4f73e18aad9dd5acaf945_1727892772,"{'operationType': 'update', 'timestamp': Timestamp(1727892772, 29)}"
subcommodity_migration_changestream,1727892993,2024-10-02 13:16:33,98043,NECTARINES WHITE FLESH,PROD_SB,,66e1dace71450d66ba800ffa_1727892760,"{'operationType': 'update', 'timestamp': Timestamp(1727892760, 7)}"
subcommodity_migration_changestream,1727892777,2024-10-02 13:12:57,98075,WATERMELON SEEDLESS WHOLE,PROD_SB,,66c4f73e18aad9dd5acafa72_1727892777,"{'operationType': 'update', 'timestamp': Timestamp(1727892777, 21)}"
subcommodity_migration_changestream,1727892718,2024-10-02 13:11:58,59414,SALAD TOPPINGS REFRIGERATED,PROD_SB,,66c4f73e18aad9dd5acaf891_1727892718,"{'operationType': 'update', 'timestamp': Timestamp(1727892718, 16)}"
subcommodity_migration_changestream,1727892720,2024-10-02 13:12:00,40907,FRESH KITCHENS VEGETABLE TRAYS,PROD_SB,,66c4f73e18aad9dd5acaf8a7_1727892720,"{'operationType': 'update', 'timestamp': Timestamp(1727892720, 8)}"
subcommodity_migration_changestream,1727892754,2024-10-02 13:12:34,98073,MELONS WHOLE OTHER,PROD_SB,,66c4f73e18aad9dd5acaf90e_1727892754,"{'operationType': 'update', 'timestamp': Timestamp(1727892754, 3)}"
subcommodity_migration_changestream,1727892749,2024-10-02 13:12:29,60301,GRAPES RED SEEDLESS ORGANIC,PROD_SB,,66c4f73e18aad9dd5acafb3f_1727892749,"{'operationType': 'update', 'timestamp': Timestamp(1727892749, 12)}"
subcommodity_migration_changestream,1727892773,2024-10-02 13:12:53,59901,VEGETABLES COOKING PACKAGED,PROD_SB,,66c4f73e18aad9dd5acaf94e_1727892773,"{'operationType': 'update', 'timestamp': Timestamp(1727892773, 26)}"
subcommodity_migration_changestream,1727892765,2024-10-02 13:12:45,98052,TROPICAL FRUIT - OTHER,PROD_SB,,66c4f73e18aad9dd5acaf900_1727892765,"{'operationType': 'update', 'timestamp': Timestamp(1727892765, 2)}"
subcommodity_migration_changestream,1727892733,2024-10-02 13:12:13,98152,POTATOES RED (BULK & BAG),PROD_SB,,66c4f73e18aad9dd5acaf9b1_1727892733,"{'operationType': 'update', 'timestamp': Timestamp(1727892733, 7)}"
subcommodity_migration_changestream,1727892714,2024-10-02 13:11:54,98051,CHERRIES RED,PROD_SB,,66c4f73e18aad9dd5acaf85e_1727892714,"{'operationType': 'update', 'timestamp': Timestamp(1727892714, 18)}"
subcommodity_migration_changestream,1727892766,2024-10-02 13:12:46,59801,CABBAGE ORGANIC,PROD_SB,,66c4f73e18aad9dd5acafa0a_1727892766,"{'operationType': 'update', 'timestamp': Timestamp(1727892766, 6)}"
