collection,max_timestamp,subCommodityCode,subCommodityName,database_name,variations,object_id,changeStreamEvent
subcommodity_dqa_changestream,2024-11-25 20:30:15 UTC,98097,POTATOES GOLD (BULK & BAG),PROD_SB,"[{'variationType': 'Package Size', 'variationName': 'Bulk', 'dqaHelperChecked': False, 'secondaryDqaHelperChecked': False, 'displayFlag': False}]",subcommodity_dqa_671a80248d26a628ef13f843_1732566615,"{'operationType': 'replace', 'timestamp': Timestamp(1732566615, 20), 'readableTimestamp': '2024-11-25 20:30:15 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f843')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-12-04 15:24:28 UTC,40906,FRESH KITCHENS GUACAMOLE/SALSA/PICO,PROD_SB,,subcommodity_dqa_671a80248d26a628ef13f806_1733325868,"{'operationType': 'delete', 'timestamp': Timestamp(1733325868, 1), 'readableTimestamp': '2024-12-04 15:24:28 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f806')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-11-25 21:03:53 UTC,98154,POTATOES SWEET & YAMS,PROD_SB,"[{'variationType': 'Package Size', 'variationName': 'Bulk', 'dqaHelperChecked': False, 'secondaryDqaHelperChecked': False, 'displayFlag': False}]",subcommodity_dqa_671a80248d26a628ef13f737_1732568633,"{'operationType': 'replace', 'timestamp': Timestamp(1732568633, 5), 'readableTimestamp': '2024-11-25 21:03:53 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f737')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-11-22 17:10:29 UTC,98013,ORANGES NAVELS ALL,PROD_SB,"[{'variationType': 'Origin', 'variationName': 'Texas', 'dqaHelperChecked': False, 'secondaryDqaHelperChecked': False, 'displayFlag': False}]",subcommodity_dqa_671a80248d26a628ef13f967_1732295429,"{'operationType': 'replace', 'timestamp': Timestamp(1732295429, 1), 'readableTimestamp': '2024-11-22 17:10:29 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f967')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-11-25 20:39:55 UTC,98151,POTATOES RUSSET (BULK & BAG),PROD_SB,"[{'variationType': 'Package Size', 'variationName': '5lb Bag', 'dqaHelperChecked': False, 'secondaryDqaHelperChecked': False, 'displayFlag': False}]",subcommodity_dqa_671a80248d26a628ef13f72b_1732567195,"{'operationType': 'replace', 'timestamp': Timestamp(1732567195, 3), 'readableTimestamp': '2024-11-25 20:39:55 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f72b')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-11-22 21:05:52 UTC,60210,GRAPEFRUIT ORGANIC,PROD_SB,"[{'variationType': 'Origin', 'variationName': 'TEXAS', 'dqaHelperChecked': False, 'secondaryVariationType': 'Package Size', 'secondaryVariationName': 'Bulk', 'secondaryDqaHelperChecked': False, 'displayFlag': False}]",subcommodity_dqa_671a80248d26a628ef13f957_1732309552,"{'operationType': 'replace', 'timestamp': Timestamp(1732309552, 6), 'readableTimestamp': '2024-11-22 21:05:52 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f957')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-12-04 15:15:20 UTC,40807,FRESH KITCHENS FRUIT TRAYS,PROD_SB,,subcommodity_dqa_671a80248d26a628ef13f6ac_1733325320,"{'operationType': 'delete', 'timestamp': Timestamp(1733325320, 1), 'readableTimestamp': '2024-12-04 15:15:20 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f6ac')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-11-25 20:11:25 UTC,61802,POTATOES RED (BULK & BAG) ORGANIC,PROD_SB,"[{'variationType': 'Package Size', 'variationName': 'Other', 'dqaHelperChecked': False, 'secondaryDqaHelperChecked': False, 'displayFlag': False}]",subcommodity_dqa_671a80248d26a628ef13f721_1732565485,"{'operationType': 'replace', 'timestamp': Timestamp(1732565485, 5), 'readableTimestamp': '2024-11-25 20:11:25 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f721')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-11-25 21:09:07 UTC,98155,POTATOES WHITE (BULK & BAG),PROD_SB,"[{'variationType': 'Package Size', 'variationName': 'Size A', 'dqaHelperChecked': False, 'secondaryDqaHelperChecked': False, 'displayFlag': False}]",subcommodity_dqa_671a80248d26a628ef13f95f_1732568947,"{'operationType': 'replace', 'timestamp': Timestamp(1732568947, 1), 'readableTimestamp': '2024-11-25 21:09:07 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f95f')}, 'clientInfo': {}, 'updateDescription': {}}"
subcommodity_dqa_changestream,2024-11-22 17:02:35 UTC,98002,Grapefruit,PROD_SB,"[{'variationType': 'Origin', 'variationName': 'California', 'dqaHelperChecked': False, 'secondaryVariationType': 'Package Size', 'secondaryVariationName': 'Bulk', 'secondaryDqaHelperChecked': False, 'displayFlag': False}]",subcommodity_dqa_671a80248d26a628ef13f94f_1732294955,"{'operationType': 'replace', 'timestamp': Timestamp(1732294955, 2), 'readableTimestamp': '2024-11-22 17:02:35 UTC', 'documentKey': {'_id': ObjectId('671a80248d26a628ef13f94f')}, 'clientInfo': {}, 'updateDescription': {}}"
