collection,max_timestamp,utc_timestamp,subCommodityCode,subCommodityName,database_name,variations,object_id,changeStreamEvent
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,98245,APPLES HONEY CRISP,PROD_SB,,671a80248d26a628ef13f7ae_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 126), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': True, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,59807,ASPARAGUS ORGANIC,PROD_SB,,671a80248d26a628ef13f883_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 201), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': False, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,60920,AVOCADOS BULK,PROD_SB,,671a80248d26a628ef13f780_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 88), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': True, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,98007,APPLES RED DELICIOUS (BULK & BAG),PROD_SB,,671a80248d26a628ef13f798_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 109), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': True, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,60920,AVOCADOS BULK,PROD_SB,,671a80248d26a628ef13f77a_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 82), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': True, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,60001,APPLES GALA ORGANIC (BULK & BAG),PROD_SB,,671a80248d26a628ef13f756_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 49), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': True, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,98092,TOMATOES FIELD SNACKING,PROD_SB,,671a80248d26a628ef13f7a4_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 117), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': True, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,60002,APPLES RED DELICIOUS ORGANIC(BULK & BAG),PROD_SB,,671a80248d26a628ef13f7b7_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 132), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': True, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526600,2024-11-13 13:36:40,61602,CHERRIES RED ORGANIC,PROD_SB,,671a80938d26a628ef13f984_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 291), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': 'true', 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
subcommodity_dqa_changestream,1731526578,2024-11-13 13:36:18,60018,APPLES OPAL,PROD_SB,,671a80248d26a628ef13f773_1731526500,"{'operationType': 'update', 'timestamp': Timestamp(1731526500, 75), 'updatedFields': {'spec.storage.ethyleneProducing': {'value': True, 'displayFlag': True, 'dqaHelperChecked': False, 'dqaHelperText': ''}}, 'removedFields': ['spec.storage.ethylene.producing']}"
